Designator,Footprint,Quantity,Value,LCSC Part #
A1,Arduino_Nano_WithMountingHoles,1,Arduino_Nano_v3.x,
"C1, C2, C5, C6, C7",0805,5,100nf,C49678
"C3, C4",0805,2,12pf,C1792
D1,D_SMC_Handsoldering,1,C35722,C35722
D2,0805,1,YELLOW,C2296
D3,0805,1,GREEN,C2297
J1,PinHeader_2x03_P2.54mm_Vertical,1,ICSP,
J2,USB_C_Receptacle_HRO_TYPE-C-31-M-12,1,USB_C_Receptacle_USB2.0_16P,C2988369
R1,0805,1,100k,C17414
"R2, R3",0805,2,5K1,C27834
"R4, R5",0805,2,1K,C17513
SW1,SW_Push_1P1T_XKB_TS-1187A,1,SW_SPST,C318884
U1,TQFP-32_7x7mm_P0.8mm,1,ATmega328P-A,C14877
U2,SOP-8_3.9x4.9mm_P1.27mm,1,CH340N,C2977777
Y1,Crystal_SMD_3225-4Pin_3.2x2.5mm_HandSoldering,1,Crystal_GND24,C13738
